accommodates,neighbourhood_group_cleansed,property_type,room_type,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,price
4,Beacon Hill,10,Entire home/apt,1,1,1,1,4,469,50,3,1124,1,116.80262
6,Beacon Hill,11,Entire home/apt,4,2,4,4,4,1002,100,2,1125,0,145.02933
2,Downtown,1,Entire home/apt,1,1,1,1,4,548,50,1,6,1,173.52863
4,West Seattle,1,Entire home/apt,2,1,1,1,4,186,125,7,1125,1,179.38689
1,Beacon Hill,11,Private room,1,1,1,1,4,1086,10,2,100,0,54.787674
7,West Seattle,11,Entire home/apt,1,2,3,4,4,1123,135,1,1125,1,199.55377
2,Downtown,7,Private room,1,1,1,1,4,157,45,3,29,1,88.28141
4,Downtown,7,Entire home/apt,1,0,1,2,4,2,0,1,28,0,144.00772
2,Delridge,18,Private room,1,1,1,1,4,1152,25,1,1125,0,53.715656
6,Capitol Hill,18,Entire home/apt,5,2,3,3,4,381,217,2,1125,0,259.63577
2,Central Area,7,Entire home/apt,1,1,1,1,4,1193,0,30,1125,0,109.866066
5,Other neighborhoods,9,Entire home/apt,2,1,2,3,4,588,59,2,27,0,130.1893
2,Central Area,10,Entire home/apt,2,1,1,1,4,634,50,2,30,1,119.709496
4,Capitol Hill,1,Entire home/apt,2,1,0,2,4,978,65,1,120,1,119.306335
3,Capitol Hill,1,Entire home/apt,2,1,1,1,4,753,89,21,1125,1,163.10098
2,Other neighborhoods,11,Private room,1,1,1,1,4,860,25,1,14,1,53.591534
10,Seward Park,11,Entire home/apt,1,2,4,5,4,309,300,5,7,0,538.46436
2,Cascade,1,Entire home/apt,2,1,1,1,4,1209,45,1,29,1,135.21744
5,Cascade,1,Entire home/apt,4,2,2,2,4,601,129,2,1125,1,249.9511
6,Rainier Valley,11,Entire home/apt,4,1,2,3,4,26,0,2,360,0,154.18425
